iter	Passed	Remaining
0	10	10174
1	19	9784
2	28	9512
3	38	9552
4	47	9387
5	55	9274
6	64	9145
7	73	9103
8	82	9058
9	91	9053
10	100	9070
11	109	9008
12	119	9042
13	127	8990
14	137	9026
15	146	8980
16	155	8974
17	164	8952
18	172	8915
19	181	8883
20	189	8847
21	199	8855
22	208	8840
23	217	8839
24	227	8865
25	241	9037
26	256	9232
27	266	9256
28	277	9279
29	286	9258
30	296	9252
31	305	9227
32	315	9246
33	324	9217
34	334	9218
35	343	9201
36	353	9210
37	363	9196
38	373	9191
39	381	9164
40	391	9158
41	400	9140
42	410	9130
43	418	9103
44	428	9102
45	438	9094
46	447	9079
47	457	9075
48	467	9069
49	476	9057
50	486	9060
51	497	9065
52	506	9057
53	516	9048
54	526	9040
55	534	9016
56	543	8994
57	552	8970
58	561	8961
59	571	8946
60	582	8967
61	592	8963
62	602	8956
63	611	8947
64	621	8937
65	631	8933
66	640	8915
67	650	8913
68	659	8898
69	670	8905
70	679	8892
71	689	8887
72	699	8879
73	708	8871
74	718	8856
75	729	8863
76	737	8844
77	747	8834
78	759	8854
79	768	8841
80	777	8820
81	786	8799
82	794	8779
83	804	8772
84	813	8757
85	825	8769
86	834	8752
87	843	8745
88	852	8729
89	862	8724
90	871	8709
91	881	8700
92	890	8687
93	900	8678
94	909	8661
95	918	8651
96	928	8642
97	938	8639
98	949	8638
99	958	8628
100	967	8615
101	980	8629
102	992	8646
103	1006	8674
104	1021	8706
105	1039	8768
106	1052	8786
107	1070	8840
108	1089	8903
109	1103	8930
110	1117	8948
111	1127	8939
112	1142	8968
113	1153	8963
114	1164	8962
115	1179	8988
116	1188	8967
117	1202	8989
118	1216	9005
119	1225	8988
120	1241	9018
121	1251	9009
122	1262	9003
123	1273	8996
124	1283	8986
125	1295	8987
126	1309	9001
127	1319	8988
128	1329	8979
129	1339	8967
130	1350	8956
131	1360	8944
132	1372	8944
133	1381	8926
134	1391	8917
135	1401	8905
136	1412	8899
137	1422	8884
138	1433	8880
139	1442	8862
140	1452	8851
141	1463	8841
142	1473	8828
143	1482	8810
144	1491	8794
145	1500	8775
146	1510	8766
147	1519	8750
148	1529	8734
149	1539	8725
150	1549	8710
151	1567	8746
152	1579	8746
153	1592	8748
154	1606	8757
155	1619	8763
156	1634	8775
157	1666	8883
158	1678	8879
159	1692	8885
160	1705	8885
161	1717	8882
162	1730	8883
163	1746	8902
164	1763	8926
165	1776	8925
166	1788	8920
167	1802	8924
168	1816	8932
169	1828	8927
170	1843	8935
171	1852	8918
172	1867	8925
173	1882	8934
174	1891	8918
175	1905	8923
176	1920	8929
177	1929	8911
178	1946	8927
179	1960	8933
180	1971	8919
181	1984	8920
182	1999	8927
183	2009	8911
184	2023	8913
185	2036	8913
186	2046	8898
187	2061	8904
188	2072	8891
189	2083	8882
190	2097	8884
191	2107	8869
192	2121	8870
193	2131	8857
194	2141	8840
195	2155	8841
196	2164	8822
197	2178	8823
198	2187	8806
199	2200	8800
200	2213	8800
201	2222	8781
202	2235	8778
203	2244	8759
204	2259	8762
205	2273	8764
206	2282	8745
207	2294	8736
208	2303	8718
209	2314	8707
210	2323	8689
211	2333	8674
212	2343	8657
213	2352	8639
214	2361	8621
215	2370	8605
216	2380	8590
217	2392	8580
218	2401	8563
219	2411	8548
220	2420	8530
221	2429	8515
222	2440	8503
223	2450	8487
224	2459	8470
225	2469	8455
226	2477	8438
227	2487	8422
228	2496	8405
229	2506	8391
230	2516	8376
231	2525	8361
232	2536	8350
233	2546	8335
234	2555	8319
235	2565	8305
236	2575	8290
237	2585	8277
238	2595	8263
239	2606	8254
240	2616	8239
241	2628	8233
242	2642	8231
243	2652	8219
244	2668	8224
245	2682	8223
246	2691	8206
247	2706	8206
248	2724	8216
249	2735	8206
250	2745	8194
251	2760	8193
252	2769	8177
253	2783	8175
254	2796	8171
255	2806	8156
256	2820	8154
257	2829	8138
258	2844	8137
259	2857	8133
260	2869	8124
261	2881	8115
262	2894	8111
263	2904	8096
264	2917	8092
265	2976	8212
266	3013	8273
267	3040	8304
268	3059	8313
269	3073	8309
270	3083	8294
271	3098	8291
272	3112	8288
273	3121	8271
274	3137	8270
275	3150	8265
276	3160	8248
277	3174	8244
278	3185	8231
279	3195	8216
280	3206	8204
281	3218	8194
282	3232	8189
283	3243	8178
284	3255	8167
285	3268	8160
286	3278	8144
287	3291	8136
288	3301	8122
289	3312	8109
290	3325	8102
291	3335	8086
292	3347	8078
293	3357	8061
294	3368	8050
295	3379	8038
296	3389	8023
297	3400	8010
298	3409	7994
299	3422	7986
300	3433	7972
301	3444	7961
302	3453	7945
303	3465	7933
304	3474	7917
305	3484	7902
306	3495	7890
307	3504	7874
308	3517	7864
309	3527	7850
310	3538	7838
311	3548	7823
312	3559	7812
313	3569	7799
314	3580	7786
315	3590	7770
316	3600	7758
317	3610	7742
318	3620	7728
319	3629	7713
320	3639	7699
321	3649	7684
322	3658	7668
323	3667	7652
324	3677	7638
325	3690	7629
326	3699	7614
327	3709	7599
328	3718	7583
329	3726	7566
330	3736	7552
331	3745	7536
332	3755	7521
333	3772	7522
334	3794	7532
335	3822	7553
336	3833	7542
337	3848	7536
338	3859	7526
339	3870	7512
340	3879	7497
341	3891	7486
342	3901	7472
343	3910	7457
344	3920	7443
345	3930	7428
346	3938	7412
347	3948	7398
348	3957	7382
349	3967	7368
350	3976	7352
351	3987	7340
352	3996	7325
353	4008	7315
354	4018	7301
355	4028	7286
356	4038	7273
357	4048	7259
358	4057	7244
359	4067	7230
360	4077	7217
361	4087	7203
362	4100	7196
363	4111	7184
364	4127	7181
365	4142	7176
366	4153	7163
367	4170	7161
368	4186	7159
369	4200	7152
370	4211	7139
371	4227	7137
372	4243	7133
373	4255	7123
374	4267	7112
375	4283	7108
376	4294	7097
377	4306	7086
378	4321	7081
379	4333	7070
380	4346	7062
381	4361	7056
382	4373	7045
383	4384	7033
384	4399	7027
385	4413	7019
386	4422	7005
387	4436	6998
388	4446	6983
389	4461	6978
390	4475	6971
391	4485	6957
392	4500	6951
393	4512	6940
394	4523	6928
395	4536	6919
396	4546	6906
397	4556	6891
398	4568	6882
399	4578	6867
400	4590	6856
401	4599	6842
402	4611	6831
403	4620	6816
404	4632	6805
405	4641	6791
406	4651	6777
407	4666	6771
408	4676	6757
409	4687	6744
410	4696	6731
411	4708	6719
412	4717	6705
413	4730	6695
414	4740	6682
415	4750	6668
416	4760	6655
417	4770	6641
418	4779	6628
419	4789	6614
420	4800	6601
421	4809	6587
422	4819	6574
423	4828	6559
424	4838	6546
425	4847	6531
426	4857	6518
427	4867	6505
428	4877	6491
429	4888	6480
430	4899	6467
431	4912	6459
432	4926	6451
433	4939	6441
434	4948	6427
435	4959	6415
436	4968	6401
437	4979	6389
438	4989	6376
439	5003	6368
440	5013	6355
441	5024	6343
442	5035	6331
